id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка
0EEB ; FtrDrumcanbath ; oil-barrel bathtub ; ドラムかんぶろ ; 泡澡汽油桶 ; 泡澡汽油桶 ; 드럼통 욕조 ; baignoire baril de pétrole ; Ölfassbad ; bañera barril ; vasca fusto di petrolio ; badvat ; бочка для купания
0EEC ; FtrFan ; fan ; せんぷうき ; 風扇 ; 风扇 ; 선풍기 ; ventilateur ; Ventilator ; ventilador ; ventilatore ; ventilator ; вентилятор
0EED ; FtrCirculator ; air circulator ; サーキュレーター ; 空氣循環扇 ; 空气循环扇 ; 서큘레이터 ; circulateur d'air ; Luftzirkulator ; termoventilador ; circolatore d'aria ; vloerventilator ; напольный вентилятор
0EEE ; FtrReelrecorder ; pro tape recorder ; オープンリールデッキ ; 盤式錄音機 ; 盘式录音机 ; 오픈릴 녹음기 ; magnétophone à bobines ; Profi-Tonbandgerät ; magnetófono profesional ; registratore a bobine ; bandrecorder ; студийный магнитофон
0F67 ; FtrWorkbenchIronwood ; ironwood DIY workbench ; アイアンウッドDIYテーブル ; 鑄鐵木DIY桌 ; 铸铁木DIY桌 ; 아이언우드 DIY 테이블 ; établi en bois de fer ; Eisen-Holz-Werkbank ; banco bricolaje universidad ; banco lavoro di legno ferro ; ijzeren-houten werkbank ; верстак из ДСП и стали
0F6A ; FtrOutdoortableM ; outdoor table ; アウトドアテーブル ; 戶外桌 ; 户外桌 ; 아웃도어 테이블 ; table d'extérieur ; Campingtisch ; mesa plegable de pícnic ; tavolo pieghevole da picnic ; kampeertafel ; стол для кемпинга
0F6B ; FtrOutdoorchairM ; outdoor bench ; アウトドアベンチ ; 戶外長椅 ; 户外长凳 ; 아웃도어 벤치 ; banquette d'extérieur ; Campingbank ; banco plegable de pícnic ; panca pieghevole da picnic ; kampeerbank ; скамья для кемпинга
0F6C ; FtrJewelrystand ; accessories stand ; アクセサリースタンド ; 飾品架 ; 饰品架 ; 액세서리 스탠드 ; présentoir à bijoux ; Schmuckstand ; expositor de complementos ; porta accessori ; sieradenrekje ; стоечка для украшений
0F6D ; FtrPlantAnthurium ; anthurium plant ; アンスリウム ; 火鶴花 ; 火鹤花 ; 안수리움 ; anthurium ; Flamingoblume ; flor del flamenco ; pianta di anturio ; aronskelk ; антурия
0F6E ; FtrAntiqueChairS ; antique chair ; アンティークなイス ; 古董椅子 ; 古董椅子 ; 앤티크 의자 ; chaise ancienne ; Antikstuhl ; silla antigua ; vecchia sedia ; antieke stoel ; антикварный стул
0F6F ; FtrAntiqueConsole ; antique console table ; アンティークなコンソール ; 古董玄關桌 ; 古董玄关桌 ; 앤티크 콘솔 테이블 ; console ancienne ; Antikschreibtisch ; consola antigua ; vecchia consolle ; antieke wandtafel ; антикварный столик
0F70 ; FtrAntiqueTableL ; antique table ; アンティークなテーブル ; 古董桌 ; 古董桌 ; 앤티크 테이블 ; table ancienne ; Antiktisch ; mesa de comedor antigua ; vecchio tavolo ; antieke tafel ; антикварный стол
0F71 ; FtrAntiquePhoneW ; antique phone ; アンティークなでんわ ; 古董電話 ; 古董电话 ; 앤티크 전화기 ; téléphone ancien ; Antiktelefon ; teléfono de pared antiguo ; vecchio telefono ; antieke telefoon ; антикварный телефон
0F72 ; FtrAntiqueClock ; antique clock ; アンティークなとけい ; 古董時鐘 ; 古董时钟 ; 앤티크 시계 ; horloge ancienne ; Antikstanduhr ; reloj antiguo ; vecchio orologio ; antieke klok ; антикварные часы
0F73 ; FtrAntiqueDresser ; antique vanity ; アンティークなドレッサー ; 古董梳妝台 ; 古董梳妆台 ; 앤티크 화장대 ; coiffeuse ancienne ; Antikfrisiertisch ; tocador antiguo ; vecchia toletta ; antieke make-uptafel ; антикварное трюмо
0F74 ; FtrAntiqueBureau ; antique bureau ; アンティークなビューロ ; 古董寫字桌 ; 古董写字桌 ; 앤티크 뷰로 ; bureau ancien ; Antiksekretär ; buró antiguo ; vecchia ribalta ; antiek bureau ; антикварный секретер
0F75 ; FtrAntiqueBedW ; antique bed ; アンティークなベッド ; 古董床鋪 ; 古董床铺 ; 앤티크 침대 ; lit ancien ; Antikbett ; cama antigua ; vecchio letto ; antiek bed ; антикварная кровать
0F76 ; FtrAntiqueTableS ; antique mini table ; アンティークなミニテーブル ; 古董小桌 ; 古董小桌 ; 앤티크 미니 테이블 ; guéridon ancien ; Antiktischchen ; mesa auxiliar antigua ; vecchio tavolino ; antiek tafeltje ; антикварный мини-стол
0F77 ; FtrAntiqueChest ; antique wardrobe ; アンティークなワードローブ ; 古董衣櫥 ; 古董衣橱 ; 앤티크 옷장 ; armoire ancienne ; Antikschrank ; ropero antiguo ; vecchio armadio ; antieke kledingkast ; антикварный шкаф
0F78 ; FtrWaterjug ; handy water cooler ; ウォータージャグ ; 飲料桶 ; 饮料桶 ; 워터 저그 ; distributeur d'eau fraîche ; Wasserkühler ; dispensador de agua fría ; mini distributore d'acqua ; draagbare waterkoeler ; портативный кулер
0F79 ; FtrPsychicset ; fortune-telling set ; うらないセット ; 占卜組合 ; 占卜组合 ; 운세 세트 ; set de divination ; Wahrsage-Set ; kit de adivinación ; set per chiaroveggente ; waarzeggersset ; набор гадалки
0F7A ; FtrAirsofa ; inflatable sofa ; エアーソファ ; 充氣沙發 ; 充气沙发 ; 에어 소파 ; hamac gonflable ; Aufblas-Sofa ; sofá hinchable ; sofà gonfiabile ; opblaasbaar bed ; надувной диван
0F7D ; FtrPaintset ; painting set ; おえかきセット ; 水彩用具組合 ; 水彩用具组合 ; 그림 그리기 세트 ; set de peinture ; Malset ; kit de pintura ; set da pittura ; verfset ; набор художника
0F7E ; FtrTreeXmasL ; big festive tree ; おおきなクリスマスツリー ; 大型聖誕樹 ; 大型圣诞树 ; 큰 크리스마스트리 ; grand sapin décoré ; Tannenbaum ; árbol festivo ; albero festivo ; grote feestboom ; праздничная ель
0F7F ; FtrCleaningset ; broom and dustpan ; ほうきとちりとり ; 掃把畚箕組 ; 扫把畚箕组 ; 빗자루와 쓰레받기 ; kit de balayage ; Kehrset ; set de escoba y recogedor ; ramazza con paletta ; bezem en stofblik ; метлы с совком
0F82 ; FtrOrientalShelfWall ; imperial decorative shelves ; オリエンタルなかざりだな ; 東方風裝飾架 ; 东方风装饰架 ; 오리엔탈 쉘프 ; étagère impériale ; Asienregal ; estantería dinastía ; scaffale da parete dinastia ; keizerlijke wandkast ; азиатская полочка
0F83 ; FtrOrientalScreen ; imperial partition ; オリエンタルなスクリーン ; 東方風屏風 ; 东方风屏风 ; 오리엔탈 파티션 ; paravent impérial ; Asienwandschirm ; biombo dinastía ; paravento dinastia ; keizerlijk scherm ; азиатская ширма
0F84 ; FtrOrientalChest ; imperial chest ; オリエンタルなチェスト ; 東方風矮櫃 ; 东方风矮柜 ; 오리엔탈 수납장 ; commode impériale ; Asienkommode ; cajonera dinastía ; comò dinastia ; keizerlijke ladekast ; азиатский комод
0F85 ; FtrOrientalBedW ; imperial bed ; オリエンタルなベッド ; 東方風床鋪 ; 东方风床铺 ; 오리엔탈 침대 ; lit impérial ; Asienbett ; cama dinastía ; letto dinastia ; keizerlijk bed ; азиатская кровать
0F86 ; FtrOrientalTableM ; imperial low table ; オリエンタルなローテーブル ; 東方風矮桌 ; 东方风矮桌 ; 오리엔탈 낮은 테이블 ; table basse impériale ; Asiensofatisch ; mesa baja dinastía ; tavolinetto dinastia ; keizerlijke bijzettafel ; азиатский столик
0F87 ; FtrFruitsTableS ; orange end table ; オレンジのサイドテーブル ; 橘子邊桌 ; 橘子边桌 ; 오렌지 사이드 테이블 ; guéridon orange ; Orange-Tischchen ; mesa auxiliar naranja ; tavolino arancia ; sinaasappeltafeltje ; столик-апельсин
0F88 ; FtrFruitsClockW ; orange wall-mounted clock ; オレンジのかべかけどけい ; 橘子壁掛鐘 ; 橘子壁挂钟 ; 오렌지 벽시계 ; horloge murale orange ; Orange-Wanduhr ; reloj de pared naranja ; orologio da muro arancia ; sinaasappelwandklok ; часы-апельсин
0F89 ; FtrShellArch ; shell arch ; かいがらのアーチ ; 貝殼拱門 ; 贝壳拱门 ; 조개 아치 ; arche coquillages ; Muscheltor ; arco conchas marinas ; arco conchiglia ; schelpenpoort ; арка из ракушек
0F8A ; FtrShellScreen ; shell partition ; かいがらのスクリーン ; 貝殼屏風 ; 贝壳屏风 ; 조개 파티션 ; paravent coquillages ; Muschel-Wandschirm ; mampara conchas marinas ; divisorio conchiglia ; schelpenscheidingswand ; ширма из ракушек
0F8B ; FtrShellStoolS ; shell stool ; かいがらのスツール ; 貝殼凳子 ; 贝壳凳子 ; 조개 스툴 ; siège coquillages ; Muschelhocker ; taburete conchas marinas ; sgabello conchiglia ; schelpenkruk ; табурет из ракушки
0F8C ; FtrShellTableL ; shell table ; かいがらのテーブル ; 貝殼桌 ; 贝壳桌 ; 조개 테이블 ; table coquillages ; Muscheltisch ; mesa conchas marinas ; tavolo conchiglia ; schelpentafel ; стол из ракушки
0F8E ; FtrShellFountain ; shell fountain ; かいがらのふんすい ; 貝殼噴泉 ; 贝壳喷泉 ; 조개 분수 ; fontaine coquillages ; Muschel-Springbrunnen ; fuente conchas marinas ; fontana conchiglia ; schelpenfontein ; фонтан из ракушек
0F8F ; FtrShellBedW ; shell bed ; かいがらのベッド ; 貝殼床鋪 ; 贝壳床铺 ; 조개 침대 ; lit coquillages ; Muschelbett ; cama conchas marinas ; letto conchiglia ; schelpenbed ; кровать из ракушки
0F90 ; FtrShellLamp ; shell lamp ; かいがらのランプ ; 貝殼燈 ; 贝壳灯 ; 조개 램프 ; lampe coquillages ; Muschellampe ; lamparita conchas marinas ; lampada conchiglia ; schelpenlamp ; лампа из ракушки
0F92 ; FtrTV20inchWall ; wall-mounted TV (20 in.) ; かべかけテレビ 20インチ ; 壁掛式電視 20吋 ; 20寸壁挂式电视 ; 20인치 벽걸이 TV ; télé murale (20\") ; 20-Zoll-Wandfernseher ; tele LCD de 20\" para pared ; TV a LED a muro (20 pollici) ; tv aan de muur (20 inch) ; настенный ЖК-ТВ (20\")
0F93 ; FtrPhoneWall ; wall-mounted phone ; かべかけでんわ ; 壁掛式電話 ; 壁挂式电话 ; 벽걸이 전화기 ; téléphone mural ; Wandtelefon ; teléfono digital de pared ; telefono a muro ; wandtelefoon ; настенный телефон
0F97 ; FtrTreeXmasS ; festive tree ; かわいいクリスマスツリー ; 可愛聖誕樹 ; 可爱圣诞树 ; 귀여운 크리스마스트리 ; sapin décoré ; Tannenbäumchen ; arbolito festivo ; alberello festivo ; feestboom ; праздничная елка
0F98 ; FtrKeyhanger ; key holder ; キーハンガー ; 鑰匙掛勾 ; 钥匙挂钩 ; 열쇠 걸이 ; panneau à clés ; Schlüsselbrett ; portallaves ; bacheca portachiavi ; sleutelbord ; вешалка для ключей
0F99 ; FtrWeighing ; analog kitchen scale ; キッチンスケール ; 料理秤 ; 料理秤 ; 주방용 저울 ; balance de cuisine ; Analog-Küchenwaage ; báscula de cocina con plato ; bilancia analogica da cucina ; keukenweegschaal ; механические весы
0F9B ; FtrCuteWorkbench ; cute DIY table ; キュートなDIYテーブル ; 可愛DIY桌 ; 可爱DIY桌 ; 큐트 DIY 테이블 ; table de bricolage mimi ; Bonbon-Werkbank ; banco de bricolaje cuqui ; banco da lavoro grazioso ; schattige werkbank ; милый верстак
0F9C ; FtrCuteClockW ; cute wall-mounted clock ; キュートなかべかけどけい ; 可愛壁掛鐘 ; 可爱壁挂钟 ; 큐트 벽시계 ; horloge murale mimi ; Bonbon-Wanduhr ; reloj de pared cuqui ; orologio da parete grazioso ; schattige klok ; милые настенные часы
0F9D ; FtrCuteClosetLR ; cute wardrobe ; キュートなクロゼット ; 可愛衣櫃 ; 可爱衣柜 ; 큐트 옷장 ; armoire mimi ; Bonbon-Schrank ; armario cuqui ; armadio grazioso ; schattige kledingkast ; милый шкаф
0F9E ; FtrCuteChairL ; cute sofa ; キュートなソファ ; 可愛沙發 ; 可爱沙发 ; 큐트 소파 ; canapé mimi ; Bonbon-Sofa ; sofá cuqui ; sofà grazioso ; schattige bank ; милый диван
0F9F ; FtrCuteChairS ; cute chair ; キュートなチェア ; 可愛椅 ; 可爱椅 ; 큐트 체어 ; chaise mimi ; Bonbon-Stuhl ; silla cuqui ; sedia graziosa ; schattige stoel ; милый стул
0FA0 ; FtrCuteTableS ; cute tea table ; キュートなティーテーブル ; 可愛茶桌 ; 可爱茶桌 ; 큐트 티 테이블 ; table ronde mimi ; Bonbon-Tisch ; mesita cuqui ; tavolo da tè grazioso ; schattige theetafel ; милый чайный стол
0FA1 ; FtrCuteDresser ; cute vanity ; キュートなドレッサー ; 可愛梳妝台 ; 可爱梳妆台 ; 큐트 화장대 ; coiffeuse mimi ; Bonbon-Frisiertisch ; tocador cuqui ; toletta graziosa ; schattige make-uptafel ; милое трюмо
0FA2 ; FtrCuteLamp ; cute floor lamp ; キュートなフロアランプ ; 可愛落地燈 ; 可爱落地灯 ; 큐트 플로어 스탠드 ; lampe à pied mimi ; Bonbon-Stehlampe ; lámpara de pie cuqui ; lampada graziosa ; schattige staande lamp ; милый торшер
0FA3 ; FtrCuteAudio ; cute music player ; キュートなオーディオプレーヤー ; 可愛音樂播放器 ; 可爱音频播放器 ; 큐트 오디오 플레이어 ; lecteur audio mimi ; Bonbon-CD-Spieler ; lector de CD cuqui ; stereo grazioso ; schattige cd-speler ; милый магнитофончик
0FA6 ; FtrClimbingwall ; climbing wall ; クライミングウォール ; 攀岩牆 ; 攀岩墙 ; 클라이밍 월 ; mur d'escalade ; Kletterwand ; pared de escalada ; parete da arrampicata ; klimmuur ; стена для лазания
0FA9 ; FtrPhoneCordless ; cordless phone ; コードレスでんわ ; 無線電話 ; 无线电话 ; 무선 전화기 ; téléphone sans fil ; Schnurlostelefon ; teléfono inalámbrico ; telefono senza fili ; draadloze telefoon ; беспроводной телефон
0FAB ; FtrFruitsMusic ; cherry speakers ; さくらんぼのスピーカー ; 櫻桃廣播喇叭 ; 樱桃广播喇叭 ; 체리 스피커 ; haut-parleur cerise ; Kirschenlautsprecher ; altavoz cereza ; set di altoparlanti ciliegia ; kersenspeakers ; динамики-вишни
0FAC ; FtrFruitsLampW ; cherry lamp ; さくらんぼのランプ ; 櫻桃燈 ; 樱桃灯 ; 체리 램프 ; lampe cerise ; Kirschenlampe ; lámpara cereza ; lampada ciliegia ; kersenlamp ; светильник-вишни
0FAD ; FtrSandbag ; punching bag ; サンドバッグ ; 沙包 ; 沙包 ; 샌드백 ; sac de frappe ; Sandsack ; saco de boxeo ; sacco da boxe ; bokszak ; боксерская груша
0FAE ; FtrLampArm ; folding floor lamp ; アームのフロアランプ ; 燈罩落地燈 ; 灯罩落地灯 ; 관절형 플로어 스탠드 ; lampe de sol articulée ; Flexi-Stehlampe ; lámpara de pie articulada ; lampada pieghevole ; verstelbare staande lamp ; коленчатый торшер
0FAF ; FtrShowerboothSquare ; shower booth ; シャワーブース ; 淋浴間 ; 淋浴间 ; 샤워 부스 ; cabine de douche ; Duschkabine ; cabina de hidromasaje ; box doccia ; vierkante douchecabine ; кабина-душевая
0FB1 ; FtrShowerWall ; shower set ; シャワーセット ; 淋浴組合 ; 淋浴组合 ; 샤워 세트 ; colonne de douche ; Duschset ; ducha de manguera ; gruppo doccia ; douchekop ; душевой гарнитур
0FB3 ; FtrStandmixer ; stand mixer ; スタンドミキサー ; 直立式攪拌機 ; 直立式搅拌机 ; 스탠드 믹서 ; robot de cuisine ; Rührmaschine ; batidora amasadora ; impastatrice ; mixer ; миксер
0FB7 ; FtrPantspresser ; pants press ; ズボンプレッサー ; 熨褲機 ; 熨裤机 ; 팬츠 프레스 ; presse-pantalon ; Hosenbügler ; plancha para pantalones ; pressa per pantaloni ; broekenpers ; пресс для глажки брюк
0FB9 ; FtrDishesUnglazed ; unglazed dish set ; すやきのしょっき ; 素燒碗盤 ; 素烧碗盘 ; 질그릇 세트 ; vaisselle en terracotta ; Keramikgeschirr ; servicio de mesa de barro ; set da tavola non smaltato ; aardewerken servies ; неглазурованная посуда
0FBB ; FtrFlowerSwag ; floral swag ; スワッグ ; 倒掛乾燥花 ; 倒挂干燥花 ; 벽걸이 드라이플라워 ; bouquet mural ; Blumengebinde ; ramillete colgante ; addobbo floreale ; hangend bloemstukje ; сухой букет
0FBD ; FtrPhoneDial ; rotary phone ; ダイヤルしきでんわ ; 轉盤式電話 ; 转盘式电话 ; 다이얼 전화기 ; téléphone à cadran ; Wählscheibentelefon ; teléfono de disco ; telefono a disco ; telefoon met kiesschijf ; дисковый телефон
0FBE ; FtrTowelrackWall ; bathroom towel rack ; タオルラック ; 毛巾架 ; 毛巾架 ; 욕실 수건 걸이 ; porte-serviettes mural ; Handtuchhalter ; toallero de pared ; portasciugamani da bagno ; handdoekenrek ; полка для полотенец
0FC1 ; FtrTeasetChina ; traditional tea set ; チャイニーズティーセット ; 中式茶具組合 ; 中式茶具组合 ; 전통 티 세트 ; service à thé traditionnel ; Gong-Fu-Teeservice ; juego de té tradicional ; servizio da tè classico ; traditioneel theeservies ; набор для чаепития
0FC2 ; FtrFloorpapers ; scattered papers ; ちらばったかみ ; 散亂的紙張 ; 散乱的纸张 ; 널려 있는 종이 ; tas de papiers ; Papierchaos ; montón de papeles ; mucchio di fogli ; stel papieren ; бумажный беспорядок
0FC3 ; FtrLogBedS ; log garden lounge ; まるたのガーデンベッド ; 圓木花園躺椅 ; 圆木花园躺椅 ; 통나무 가든 침대 ; chaise longue tronc ; Baumstammliegestuhl ; tumbona leño ; sdraio tronco ; boomstamligstoel ; шезлонг из бревен
0FC4 ; FtrLogShelf ; log decorative shelves ; まるたのかざりだな ; 圓木裝飾架 ; 圆木装饰架 ; 통나무 쉘프 ; étagère tronc ; Baumstammregal ; estantería leño ; scaffale tronco ; boomstamboekenplanken ; декорат. полки из бревна
0FC5 ; FtrLogClockWall ; log wall-mounted clock ; まるたのかべかけどけい ; 圓木壁掛鐘 ; 圆木壁挂钟 ; 통나무 벽시계 ; horloge murale tronc ; Baumstammwanduhr ; reloj de pared leño ; orologio a muro tronco ; boomstamklok ; часы из бревна
0FC6 ; FtrLogStoolS ; log stool ; まるたのスツール ; 圓木凳子 ; 圆木凳子 ; 통나무 스툴 ; tabouret tronc ; Baumstammhocker ; taburete leño ; sgabello tronco ; boomstamzitje ; табурет из бревна
0FC7 ; FtrLogSofaS ; log chair ; まるたのソファ ; 圓木沙發 ; 圆木沙发 ; 통나무 소파 ; siège tronc ; Baumstammsessel ; sillón leño ; poltrona tronco ; boomstamleunstoel ; кресло из бревен
0FC8 ; FtrLogTableL ; log dining table ; まるたのダイニングテーブル ; 圓木餐桌 ; 圆木餐桌 ; 통나무 다이닝 테이블 ; table tronc ; Baumstamm-Esstisch ; mesa de comedor leño ; tavolo da cena tronco ; boomstameettafel ; стол из бревен
0FC9 ; FtrLogBedW ; log bed ; まるたのベッド ; 圓木床鋪 ; 圆木床铺 ; 통나무 침대 ; lit tronc ; Baumstammbett ; cama leño ; letto tronco ; boomstambed ; кровать из бревен
0FCA ; FtrLogStoolL ; log bench ; まるたのベンチ ; 圓木長椅 ; 圆木长凳 ; 통나무 벤치 ; banc tronc ; Baumstammbank ; banco leño ; panchina tronco ; boomstambank ; лавка из бревна
0FCB ; FtrLogTableLRound ; log round table ; まるたのラウンドテーブル ; 圓木圓桌 ; 圆木圆桌 ; 통나무 둥근 테이블 ; table basse tronc ; Baumstammtisch ; mesa redonda leño ; tavolo tondo tronco ; lage boomstamtafel ; круглый стол из бревен
0FCC ; FtrLogSofaL ; log extra-long sofa ; まるたのロングソファ ; 圓木長沙發 ; 圆木长沙发 ; 통나무 긴 소파 ; canapé long tronc ; Baumstammsofa ; sofá leño ; divano lungo tronco ; boomstamsofa ; диван из бревен
0FCD ; FtrRattanTrashbox ; rattan waste bin ; ラタンのくずかご ; 藤編廢紙簍 ; 藤编废纸篓 ; 라탄 쓰레기통 ; poubelle jonc ; Flecht-Papierkorb ; papelera de ratán ; cestino per rifiuti di rattan ; rotan prullenmand ; мусорка из ротанга
0FCE ; FtrRattanTableS ; rattan end table ; ラタンのサイドテーブル ; 藤編邊桌 ; 藤编边桌 ; 라탄 사이드 테이블 ; guéridon jonc ; Flechttischchen ; mesa de ratán ; tavolino di rattan ; rotan bijzettafel ; круглый стол из ротанга
0FCF ; FtrRattanStool ; rattan stool ; ラタンのスツール ; 藤編凳子 ; 藤编凳子 ; 라탄 스툴 ; tabouret jonc ; Flechthocker ; taburete de ratán ; sgabello di rattan ; rotan kruk ; табурет из ротанга
0FD0 ; FtrRattanBasket ; rattan towel basket ; ラタンのタオルバスケット ; 藤編毛巾籃 ; 藤编毛巾篮 ; 라탄 수건 바구니 ; panier de serviettes jonc ; Flecht-Handtuchkorb ; cesta de baño de ratán ; cesto biancheria di rattan ; rotan handdoekenmandje ; корзина из ротанга
0FD1 ; FtrRattanClosetLR ; rattan wardrobe ; ラタンのクロゼット ; 藤編衣櫃 ; 藤编衣柜 ; 라탄 옷장 ; armoire jonc ; Flechtschrank ; armario de ratán ; armadio di rattan ; rotan kledingkast ; шкаф из ротанга
0FD2 ; FtrRattanLamp ; rattan table lamp ; ラタンのテーブルランプ ; 藤編桌燈 ; 藤编桌灯 ; 라탄 테이블 램프 ; lampe jonc ; Flecht-Tischlampe ; lamparita de ratán ; lampada da tavolo di rattan ; rotan tafellamp ; лампа из ротанга
0FD3 ; FtrRattanDresser ; rattan vanity ; ラタンのドレッサー ; 藤編梳妝台 ; 藤编梳妆台 ; 라탄 화장대 ; coiffeuse jonc ; Flechtfrisiertisch ; tocador de ratán ; toletta di rattan ; rotan make-uptafel ; трюмо из ротанга
0FD4 ; FtrRattanBedW ; rattan bed ; ラタンのベッド ; 藤編床鋪 ; 藤编床铺 ; 라탄 침대 ; lit jonc ; Flechtbett ; cama de ratán ; letto di rattan ; rotan bed ; кровать из ротанга
0FD5 ; FtrRattanChairS ; rattan armchair ; ラタンのソファ ; 藤編沙發 ; 藤编沙发 ; 라탄 소파 ; fauteuil jonc ; Flechtsessel ; sillón de ratán ; poltrona di rattan ; rotan leunstoel ; кресло из ротанга
0FD6 ; FtrRattanTableM ; rattan low table ; ラタンのローテーブル ; 藤編矮桌 ; 藤编矮桌 ; 라탄 낮은 테이블 ; table basse jonc ; Flecht-Sofatisch ; mesa de té de ratán ; tavolinetto di rattan ; rotan salontafel ; столик из ротанга
0FE2 ; FtrIllumiTree ; illuminated tree ; ツリーのイルミネーション ; 樹型燈飾 ; 树型灯饰 ; 트리 일루미네이션 ; sapin illuminé ; Leuchtbaum ; árbol de luces ; albero illuminato ; lichtgevende boom ; елка с подсветкой
0FE3 ; FtrTreeXmasMini ; tabletop festive tree ; テーブルクリスマスツリー ; 桌上聖誕樹 ; 桌上圣诞树 ; 탁상 크리스마스트리 ; sapin décoré miniature ; Tischtannenbaum ; árbol festivo de sobremesa ; albero festivo da tavolo ; tafelfeestboompje ; настольная елочка
0FE4 ; FtrTablesetting ; table setting ; テーブルセッティング ; 桌上布置 ; 桌上布置 ; 테이블 세팅 ; service de table ; Tischgedeck ; servicio de mesa ; set da tavola ; servies ; банкетная сервировка
0FE5 ; FtrLampDesk ; table lamp ; テーブルランプ ; 桌燈 ; 桌灯 ; 테이블 램프 ; lampe de table ; Tischlampe ; lámpara mesita ; lampada ; tafellamp ; настольная лампа
0FE6 ; FtrStreetorgan ; street organ ; てまわしオルガン ; 手搖風琴 ; 手摇风琴 ; 배럴 오르간 ; orgue de barbarie ; Drehorgel ; organillo en carro ; organo a rullo ; draaiorgel ; шарманка
0FE7 ; FtrElectronicset ; electronics kit ; でんしこうさくセット ; 電子工具組合 ; 电子工具组合 ; 전자 공작 세트 ; kit d'électronique ; Elektronikset ; kit de electrónica ; kit elettronico ; elektronicaset ; набор для электроники
0FE8 ; FtrCleaningsetWC ; toilet-cleaning set ; トイレそうじセット ; 廁所打掃用具組合 ; 厕所打扫用具组合 ; 화장실 청소 세트 ; kit du petit coin ; Toilettenset ; set para inodoro ; set pulizia bagno ; toiletschoonmaakset ; набор для чистки унитаза
0FE9 ; FtrPotteryjug ; classic pitcher ; とうきのジャグ ; 陶製牛奶壺 ; 陶制牛奶壶 ; 도기 물병 ; cruche en terre ; Keramikkrug ; jarra de cerámica ; caraffa di ceramica ; aardewerken kan ; кувшин
0FEA ; FtrIllumiReindeer ; illuminated reindeer ; トナカイのイルミネーション ; 馴鹿燈飾 ; 驯鹿灯饰 ; 순록 일루미네이션 ; renne illuminé ; Leucht-Rentier ; reno de luces ; renna illuminata ; rendierverlichting ; олень с подсветкой
0FEB ; FtrTamtam ; gong ; どら ; 銅鑼 ; 铜锣 ; 징 ; gong oriental ; Gong ; gong ; gong ; gong ; гонг
0FEC ; FtrNailartset ; nail-art set ; ネイルアートセット ; 美甲組合 ; 美甲组合 ; 네일아트 세트 ; set de nail art ; Nageldeko-Set ; kit de manicura artística ; set per manicure ; nagellakset ; набор для маникюра
0FED ; FtrPartydecorationWall ; party garland ; パーティーのかざり ; 派對裝飾 ; 派对装饰 ; 파티 가랜드 ; guirlande de fête ; Party-Girlande ; guirnalda de banderines ; fila di bandierine ; feestvlaggetjes ; гирлянда из флажков
0FEE ; FtrBarbell ; barbell ; バーベル ; 槓鈴 ; 杠铃 ; 바벨 ; haltère ; Langhantel ; barra de pesas ; bilanciere ; halter ; штанга
0FF0 ; FtrBathtub ; long bathtub ; バスタブ ; 浴缸 ; 浴缸 ; 욕조 ; baignoire longue ; Luxus-Badewanne ; bañera estrecha ; vasca da bagno lunga ; ligbad ; длинная ванна
0FF1 ; FtrCampbed ; camping cot ; キャンプベッド ; 露營床 ; 露营床 ; 캠핑용 침대 ; lit de camping ; Feldbett ; cama de campaña ; branda da campeggio ; veldbed ; походная койка
0FF3 ; FtrHwnArch ; spooky arch ; ハロウィンなアーチ ; 萬聖節拱門 ; 万圣节拱门 ; 할로윈 아치 ; arche Halloween ; Kürbistor ; arco calabaza ; arco brividi ; pompoenpoort ; жуткая арка
0FF4 ; FtrHwnScarecrow ; spooky scarecrow ; ハロウィンなかかし ; 萬聖節稻草人 ; 万圣节稻草人 ; 할로윈 허수아비 ; épouvantail Halloween ; Kürbisvogelscheuche ; espantapájaros calabaza ; spaventapasseri brividi ; pompoenvogelverschrikker ; жуткое пугало
0FF6 ; FtrHwnTower ; spooky tower ; ハロウィンなタワー ; 萬聖節塔 ; 万圣节塔 ; 할로윈 타워 ; pile de citrouilles Halloween ; Kürbisturm ; torre calabaza ; torre brividi ; pompoentoren ; жуткая башенка
0FF7 ; FtrHwnCarriage ; spooky carriage ; ハロウィンなばしゃ ; 萬聖節馬車 ; 万圣节马车 ; 할로윈 마차 ; calèche Halloween ; Kürbiskutsche ; carruaje calabaza ; carro brividi ; pompoenkoets ; жуткая карета
0FF8 ; FtrHwnLantern ; spooky lantern ; ハロウィンなランタン ; 萬聖節燈籠 ; 万圣节灯笼 ; 할로윈 랜턴 ; lanterne Halloween ; Kürbislaterne ; farol calabaza ; lanterna brividi ; pompoenlantaarn ; жуткий светильник
0FF9 ; FtrHwnChairS ; spooky chair ; ハロウィンなチェア ; 萬聖節椅 ; 万圣节椅 ; 할로윈 체어 ; siège Halloween ; Kürbisstuhl ; taburete calabaza ; sedia brividi ; pompoenkruk ; жуткий табурет-тыква
